iter	RMSE
0	711.0914805
1	686.6770465
2	664.0823768
3	642.520117
4	622.9715404
5	603.6109503
6	585.8021546
7	569.1431223
8	553.5683073
9	539.3492131
10	526.026714
11	513.324115
12	501.132236
13	489.6772871
14	479.2634
15	469.1721934
16	459.7848072
17	450.9487548
18	442.7044484
19	435.1739829
20	428.2922367
21	421.5055394
22	414.998054
23	408.9976934
24	403.6337047
25	398.1121354
26	393.3606472
27	388.583837
28	384.4262864
29	380.147141
30	376.1636834
31	372.5393806
32	369.0911813
33	365.8514894
34	362.8799889
35	360.0702498
36	357.5256602
37	355.2344844
38	352.9427122
39	350.775311
40	348.7928871
41	347.0120338
42	345.4501903
43	343.9608781
44	342.5288919
45	341.2226569
46	339.8476423
47	338.3414398
48	337.017707
49	335.5348385
50	334.4471289
51	333.3040991
52	332.4047885
53	331.5203041
54	330.2751866
55	329.3456242
56	328.1356967
57	326.9885648
58	325.9740196
59	325.2424692
60	324.534226
61	323.6826033
62	322.958234
63	322.402515
64	321.6030726
65	321.1017916
66	320.6399261
67	320.0771699
68	319.3958258
69	318.8250857
70	318.3136682
71	317.8722321
72	317.4900208
73	317.1436482
74	316.8226952
75	316.2249715
76	315.8294179
77	315.5084059
78	315.2495013
79	314.7076875
80	314.1089775
81	313.5244195
82	313.2946638
83	313.0480043
84	312.6179558
85	312.1991606
86	311.8860031
87	311.6648336
88	311.4460767
89	311.2393827
90	310.8604033
91	310.3715745
92	309.9791543
93	309.7727972
94	309.4849095
95	309.1892381
96	308.884568
97	308.7093367
98	308.3857515
99	308.1565115
100	307.9850032
101	307.6899347
102	307.5409043
103	307.4092293
104	307.1811085
105	307.0647389
106	306.8269209
107	306.6477552
108	306.4810307
109	306.3275586
110	306.1261278
111	305.9104506
112	305.7376038
113	305.5606451
114	305.4417276
115	305.3281171
116	305.2412268
117	305.1630253
118	305.0657412
119	304.9382097
120	304.8465394
121	304.7556059
122	304.6354782
123	304.4978078
124	304.3458308
125	304.2678578
126	304.2018884
127	304.1222155
128	304.0149198
129	303.9397926
130	303.8919123
131	303.8243529
132	303.6790174
133	303.584028
134	303.4925377
135	303.3603225
136	303.2767942
137	303.1688281
138	303.0637931
139	302.9781045
140	302.9097568
141	302.8472345
