iter	Passed	Remaining
0	175	87680
1	180	44943
2	184	30628
3	189	23468
4	193	19152
5	197	16294
6	202	14255
7	206	12701
8	210	11507
9	215	10543
10	219	9757
11	223	9098
12	228	8550
13	232	8077
14	237	7663
15	241	7302
16	245	6983
17	250	6699
18	254	6450
19	259	6223
20	263	6018
21	268	5830
22	272	5659
23	277	5499
24	281	5350
25	285	5213
26	290	5095
27	295	4978
28	299	4869
29	304	4774
30	309	4682
31	314	4593
32	319	4518
33	324	4441
34	328	4368
35	333	4299
36	338	4235
37	343	4172
38	348	4115
39	352	4057
40	357	4005
41	362	3955
42	367	3907
43	372	3861
44	377	3816
45	382	3772
46	387	3730
47	392	3691
48	396	3652
49	401	3614
50	405	3572
51	410	3534
52	414	3498
53	418	3460
54	423	3425
55	427	3390
56	432	3359
57	436	3329
58	441	3300
59	445	3269
60	450	3242
61	455	3217
62	459	3190
63	464	3162
64	468	3138
65	473	3112
66	478	3089
67	482	3065
68	486	3041
69	491	3019
70	496	2997
71	500	2975
72	504	2953
73	509	2932
74	513	2912
75	519	2895
76	524	2880
77	529	2862
78	533	2845
79	538	2828
80	543	2811
81	548	2796
82	553	2779
83	557	2762
84	562	2747
85	567	2732
86	572	2718
87	577	2703
88	582	2689
89	586	2673
90	591	2660
91	596	2645
92	600	2628
93	605	2613
94	609	2597
95	613	2583
96	618	2571
97	623	2556
98	627	2543
99	632	2529
100	636	2514
101	641	2502
102	645	2488
103	649	2474
104	654	2461
105	658	2447
106	663	2436
107	667	2423
108	672	2411
109	676	2398
110	680	2386
111	685	2374
112	689	2362
113	694	2350
114	698	2337
115	702	2325
116	706	2313
117	711	2301
118	715	2290
119	719	2278
120	723	2266
121	727	2255
122	732	2244
123	737	2235
124	742	2226
125	747	2220
126	753	2214
127	759	2207
128	765	2200
129	770	2192
130	775	2184
131	781	2178
132	786	2169
133	791	2161
134	795	2151
135	800	2142
136	805	2133
137	809	2123
138	813	2113
139	818	2103
140	822	2094
141	826	2084
142	831	2076
143	835	2066
144	840	2057
145	844	2048
146	849	2040
147	854	2032
148	859	2024
149	863	2015
150	868	2008
151	873	2000
152	878	1991
153	883	1985
154	888	1976
155	892	1967
156	896	1958
157	901	1950
158	905	1941
159	909	1933
160	914	1925
161	918	1916
162	923	1908
163	927	1899
164	931	1891
165	935	1883
166	940	1874
167	944	1866
168	948	1858
169	953	1851
170	958	1844
171	963	1837
172	968	1830
173	973	1824
174	978	1817
175	984	1812
176	989	1805
177	993	1797
178	998	1791
179	1003	1784
180	1008	1776
181	1012	1768
182	1016	1761
183	1020	1753
184	1024	1745
185	1029	1737
186	1033	1730
187	1038	1722
188	1042	1715
189	1046	1707
190	1050	1700
191	1055	1693
192	1059	1686
193	1064	1679
194	1069	1672
195	1074	1665
196	1078	1658
197	1082	1651
198	1087	1644
199	1091	1637
200	1096	1630
201	1100	1623
202	1105	1616
203	1109	1609
204	1113	1602
205	1118	1595
206	1122	1588
207	1127	1582
208	1131	1575
209	1136	1568
210	1140	1562
211	1144	1555
212	1149	1548
213	1153	1541
214	1157	1534
215	1162	1527
216	1166	1521
217	1170	1514
218	1175	1508
219	1179	1501
220	1184	1495
221	1188	1488
222	1192	1481
223	1197	1475
224	1201	1468
225	1205	1461
226	1209	1454
227	1213	1448
228	1218	1441
229	1222	1435
230	1227	1428
231	1231	1422
232	1236	1416
233	1240	1410
234	1244	1403
235	1249	1397
236	1253	1391
237	1258	1385
238	1262	1379
239	1267	1372
240	1271	1366
241	1276	1360
242	1280	1354
243	1285	1348
244	1289	1342
245	1294	1336
246	1299	1330
247	1303	1324
248	1308	1319
249	1313	1313
250	1318	1307
251	1322	1301
252	1327	1296
253	1332	1290
254	1337	1285
255	1342	1279
256	1347	1273
257	1352	1268
258	1356	1262
259	1361	1256
260	1366	1250
261	1371	1245
262	1376	1240
263	1380	1234
264	1385	1228
265	1389	1222
266	1394	1217
267	1399	1211
268	1404	1205
269	1408	1200
270	1413	1194
271	1417	1188
272	1422	1182
273	1426	1176
274	1431	1170
275	1435	1165
276	1439	1159
277	1444	1153
278	1448	1147
279	1453	1141
280	1457	1135
281	1461	1130
282	1467	1124
283	1471	1119
284	1476	1113
285	1480	1107
286	1484	1101
287	1488	1095
288	1493	1090
289	1497	1084
290	1502	1079
291	1507	1073
292	1511	1067
293	1516	1062
294	1521	1057
295	1526	1052
296	1531	1046
297	1535	1040
298	1540	1035
299	1544	1029
300	1549	1024
301	1553	1018
302	1557	1012
303	1561	1006
304	1566	1001
305	1570	995
306	1574	989
307	1578	984
308	1583	978
309	1587	973
310	1592	967
